mean_outage_min,window_min,admitted_pct
4.0,5,94.17
8.0,5,78.83
12.0,5,73.50
16.0,5,62.67
20.0,5,60.17
24.0,5,44.67
28.0,5,42.83
32.0,5,47.50
36.0,5,42.67
40.0,5,35.33
44.0,5,25.67
48.0,5,27.83
52.0,5,31.00
56.0,5,32.67
60.0,5,24.33
4.0,15,99.50
8.0,15,94.67
12.0,15,83.00
16.0,15,82.33
20.0,15,78.33
24.0,15,64.17
28.0,15,55.67
32.0,15,53.67
36.0,15,45.50
40.0,15,53.83
44.0,15,44.50
48.0,15,43.50
52.0,15,42.50
56.0,15,44.50
60.0,15,38.00
4.0,60,100.00
8.0,60,100.00
12.0,60,100.00
16.0,60,96.33
20.0,60,91.17
24.0,60,96.00
28.0,60,97.67
32.0,60,90.83
36.0,60,87.67
40.0,60,79.17
44.0,60,85.83
48.0,60,74.83
52.0,60,70.50
56.0,60,71.50
60.0,60,71.17
